name,line
Interviewer,Grimes thanks very much for being with us today yeah thank you so much for having me.
Grimes,Um so uh and i seem to start every one of these interviews since the middle of march talking about.
Interviewer,Quarantine um and i know you have a young son um um how are you doing uh i'm doing.
Grimes,I guess like as good as anyone can be doing i feel like everyone's kind of doing.
Interviewer,The worst but also i don't know i also it's like it's like pretty good i having a baby is fun i'm making a lot of.
Grimes,Music i don't know well you know i spoke to i spoke to an artist not too long ago who told me.
Interviewer,That songwriters tend to be isolators and i'm wondering if that resonates for you yeah for sure i mean i don't the.
Grimes,Isolation isn't my is it my beef with the world right now um the isolation is kind of.
Interviewer,Good like uh yeah i don't know i i'm usually isolating in general like.
Grimes,Um yeah it's good for art um let's talk about let's talk about the album.
Interviewer,But to do that i want to go back to the period after art angels um as you were thinking about.
Grimes,Making the next album did you feel you kind of had a choice you know you needed to make a.
Interviewer,Decision about the path you were going to follow you know pop music versus versus.
Grimes,Something more underground or avant-garde or whatever you want to however you want to describe it was that.
Interviewer,In your thinking yeah so i really just wanted to see if i could do it like challenge myself and.
Grimes,Then with um missing throttle scene i just like i was like it i'm just gonna make.
Interviewer,Oh i'm out of sweater sorry you're you're fine okay i was like i just wanted to make.
Grimes,What i want um and uh you know pursue kind of more a more aggressive sound and more.
Interviewer,Experimental psychedelic stuff um you know especially like yeah i don't know well you've called.
Grimes,You've called you've called the material on the new album ethereal new metal um.
Interviewer,And i'm wondering if you which which is a fascinating term in and of itself but.
Grimes,I'm wondering if you had somewhat of a kind of a sonic template in mind or a direction.
Interviewer,That you wanted to take the sound um i think i just like have always been like i wish you could.
Grimes,Get sort of like nine inch nails but more ethereal you know like um.
Interviewer,Especially the songs look like my name is dark like i was like i just want something like.
Grimes,Really heavy like in a metal way but that's like really kind of got like enya undertones.
Interviewer,Like i've just been like sitting like waiting for that uh from someone else so i it just seemed.
Grimes,Like something that needed to be done um i guess like i you know i was sort of like looking for.
Interviewer,Sonic holes in the musical landscape that i felt like i wanted to be filled well i mean there's a ton.
Grimes,There's a ton of sonic information on this on this album there's layers of.
Interviewer,Instrumentation and and and vocals um and it feels you know to a listener it feels very.
Grimes,Much like your painting with sound um are you are you are you restless when it comes to.
Interviewer,Experimenting in the studio i wouldn't say restless i would say i definitely like.
Grimes,Um like the first song i made on the album was 4am and i definitely like sit down and i'm like i need to make.
Interviewer,Something that doesn't sound like anything else and i just kind of like i can't like start.
Grimes,The album until i get a song that just doesn't sound like another song um.
Interviewer,And so i i'm just sort of like that's like what i'm looking for i'm just sort of like.
Grimes,Like like just like kind of like throwing at a wall trying to like get something that just sounds totally.
Interviewer,Unique um well when you when when you're when you're when you're talking about.
Grimes,Finding something that doesn't sound like something else are you referring to your own catalog.
Interviewer,Or just anything you happen to hear currently any and you know my goal is to make music that is new.
Grimes,You know yeah so that's kind of my i mean like i would say the thing that excites me the thing that kind of gets.
Interviewer,Me going is like when i can make something that um you know i'm like it doesn't exist.
Grimes,Or whatever like that's sort of my generally what i'm that's like the game i'm playing with.
Interviewer,Myself yeah um and one you know one of the things especially with technology.
Grimes,Today in in the studio there there are literally endless amounts of.
Interviewer,Ways to tweak songs and change and and and i asked this in all seriousness how do you know when a track is finished.
Grimes,I mean frankly with all my albums like my team eventually is just like you have to.
Interviewer,It's not like you're not allowed to go anymore because i feel like i would just go.
Grimes,Forever um yeah like i have a lot of issues like when i hear my old music i'm like.
Interviewer,Like i just like want to fix it um so it's pretty hard um although that said though um i do.
Grimes,The realm of plug-ins and whatnot is super sick um and i think sort of an underappreciated art form.
Interviewer,Like the people actually making plugins and stuff um so i don't know i i'm like super fascinated.
Grimes,With that whole world and yeah that that sounds like that sounds like a rabbit hole you would.
Interviewer,Be happy to go down creating that kind of it's not my scene to make that first of.
Grimes,All i feel like i'm not um like i'm not on the level technically to be making plug-ins i.
Interviewer,Actually have made i made sort of a synth for rolly before but um.
Grimes,It's it that's not like my brain style um which is in like why i respect it so much because i find it.
Interviewer,Pretty hard to make things like that um uh and i just think those tools are just like.
Grimes,So sick and like a lot of them are pretty cheap i don't know i just i just love their music's heading where it's.
